making_year,register_id,title,type,subtype,anzsic_code,anzsic_name,bc_requirements,regdata_requirements
2006,F2006L00944,Tariff Concession Order 0513980,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B03194,AD/B747/301 - Discrepant Hydraulic Valves,Secondary,Aviation - Airworthiness Directive,N,Administrative and Support Services,4,4
2005,F2005B01686,Exemption Number 23/98 - Exemption under regulation 308,Secondary,Regulation,I,"Transport, Postal and Warehousing",0,0
2019,F2019L01277,International Transfer of Prisoners (United Arab Emirates) Regulations 2019,Secondary,Regulation,O,Public Administration and Safety,31,35
2019,F2019L01082,Same-Sex Relationships (Equal Treatment in Commonwealth Laws—General Law Reform) (Veterans’ Affairs) Regulations 2019,Secondary,Regulation,O,Public Administration and Safety,0,1
2018,F2018L01826,"Monitoring of the prices, costs and profits relating to the supply of certain feminine hygiene products",Secondary,Other Instrument,G,Retail Trade,2,2
2006,F2006B07126,AD/S-PUMA/5 - Landing Gear Actuator Fairing,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,1
2008,F2008L01495,Tariff Concession Order 0800990,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2005,C2005A00055,Social Security Legislation Amendment (One-off Payments for Carers) Act 2005,Primary,Act,N,Administrative and Support Services,1,2
2018,F2018L01487,Statement of Principles concerning moderate to severe traumatic brain injury (Reasonable Hypothesis) (No. 94 of 2018),Secondary,Statement of Principles (RMA),O,Public Administration and Safety,4,4
2013,F2013L01697,AD/B737/294 Amdt 2 - Flightcrew Oxygen Masks,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2006,F2006B09647,AD/F100/45 - Cargo Compartment Marking,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",3,3
2006,F2006B02382,AD/AMD 50/15 - Take-Off Configuration Warning,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L01100,Tariff Concession Order 0700893,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2021,F2021L00718,Biosecurity (First Point of Entry—Port of Port Adelaide) Determination 2021,Secondary,Biosecurity,I,"Transport, Postal and Warehousing",5,7
2003,F2003B00383,Maritime Transport and Offshore Facilities Security Regulations 2003,Secondary,Regulation,I,"Transport, Postal and Warehousing",446,541
2004,C2004A05172,International Transfer of Prisoners Act 1997,Primary,Act,O,Public Administration and Safety,30,37
2007,F2007L04520,AD/B767/232 - Fuel Pump Housing to Wing Structure Electrical Bonding,Secondary,Aviation - Airworthiness Directive,L,"Rental, Hiring and Real Estate Services",0,0
2006,F2006B02331,AD/AMD 10/16 - Wing Anti-Icing Flex Lines and Connections - Inspection and Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005L03231,Tariff Concession Order 0509994,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2004,C2004A00250,Common Informers (Parliamentary Disqualifications) Act 1975,Primary,Act,N,Administrative and Support Services,4,5
2020,F2020L01088,Statement of Principles concerning aplastic anaemia (Balance of Probabilities) (No. 59 of 2020),Secondary,Statement of Principles (RMA),O,Public Administration and Safety,4,4
2006,F2006B08382,AD/CESSNA 400/98 - Horizontal Stabiliser Fwd Attach Bulkhead,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005L03232,Tariff Concession Order 0509995,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L03278,Tariff Concession Revocation Order HS2007/316A - Tariff Concession Order 0614275,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2013,F2013L01208,Broadcasting Services (Material of Local Significance - Regional Aggregated Commercial Television Broadcasting Licences) Direction 2013,Secondary,Direction,J,Information Media and Telecommunications,1,1
2019,F2019L00807,Biosecurity (First Point of Entry—Port of Lucinda) Determination 2019,Secondary,Biosecurity,A,"Agriculture, Forestry and Fishing",5,7
2006,F2006B11679,Excise By-law No. 114,Secondary,Other Instrument,B,Mining,0,0
2017,F2017L00641,Environment Protection and Biodiversity Conservation Act 1999 - Section 269A - Instrument Jointly Making a Recovery Plan (Marine Turtles in Australia) (25/05/2017),Secondary,Instrument,R,Arts and Recreation Services,65,71
2024,F2024L00378,Accounting Standard AASB 2024-1 Amendments to Australian Accounting Standards – Supplier Finance Arrangements: Tier 2 Disclosures,Secondary,Standard,M,"Professional, Scientific and Technical Services",10,10
2006,F2006B04969,AD/CESSNA 170/40 - Mixture Control Connection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2012,F2012L02560,Parliamentary Superannuation (Default Fund) Declaration 2012,Secondary,Declaration,K,Financial and Insurance Services,0,0
2006,F2006L01235,Tariff Concession Order 0602382,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2016,F2016L01125,"Christmas Island Utilities and Services (Water, Sewerage and Building Application Services Fees) Determination 2016",Secondary,Determination,D,"Electricity, Gas, Water and Waste Services",9,11
2022,F2022L00327,Federal Financial Relations (National Partnership Payments—2021-22 Payment No. 11) Determination 2022,Secondary,Determination,K,Financial and Insurance Services,0,0
2008,F2008L02431,Tariff Concession Order 0803845,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L00697,AD/LEARJET 35/40 - Standby Fuel Pump Annunciators,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2006,F2006B04197,AD/BEECH 77/7 Amdt 1 - Shoulder Harness Attach Bracket,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B03061,AD/B747/159 - Forward Pressure Bulkhead,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",2,2
2008,F2008L02521,AD/EMB-145/10 - Pilots Seat Tracks,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,1
2016,C2016A00011,Insolvency Law Reform Act 2016,Primary,Act,K,Financial and Insurance Services,476,536
2024,F2024L00414,National Health (Prescriber Bag Supplies) Determination 2024,Secondary,Determination,Q,Health Care and Social Assistance,0,1
2024,F2024L01267,Federal Financial Relations (National Partnership Payments—2024-25 Payment No. 4) Determination 2024,Secondary,Determination,K,Financial and Insurance Services,0,0
2006,F2006L02217,AD/HS 125/180 - DA-A Panel Bus Bars,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,1,1
2007,F2007L03209,Tariff Concession Revocation Order HS2007/89A - Tariff Concession Order 0614015,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L00263,AD/B767/226 Amdt 1 - Rudder and Elevator Vibration,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",2,2
2006,F2006B11312,AD/MSR/12 - Elevator Control Rod - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005L00057,Tariff Concession Order 0411812,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L04245,Tariff Concession Order 0825579,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2010,F2010L02878,Tariff Concession Order 1030677,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L03945,Superannuation Industry (Supervision) modification declaration No. 2 of 2009,Secondary,Declaration,K,Financial and Insurance Services,0,0
2006,F2006B04517,AD/BELL 206/63 - Horizontal Stabilizer - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2018,F2018L00789,Migration (IMMI 18/103: Arrangements for Partner and Prospective Marriage Visa Applications) Instrument 2018,Secondary,Instrument,U,Unclassified,7,7
2010,F2010L03370,Tariff Concession Order 1039910,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L01496,Tariff Concession Order 0721746,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B11291,AD/ML-M4/5 - Rudder Trim Tab Control - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B03839,AD/BEECH 35/41 Amdt 1 - Landing Gear Shock Strut Piston,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B03468,AD/BAe 146/14 - Electric Flap Control Unit,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",0,0
2019,F2019L01572,Autonomous Sanctions (Designated and Declared Persons – Democratic People’s Republic of Korea) Continuing Effect Declaration and Designation Instrument 2019,Secondary,Declaration,O,Public Administration and Safety,0,0
2017,F2017L00565,AD/A320/123 Amdt 1 - Ram Air Turbine Actuator,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2024,F2024L01158,Australian Broadcasting Corporation (Non-executive Director—Selection Criteria) Determination 2024,Secondary,Determination,J,Information Media and Telecommunications,1,1
2020,F2020L00494,Statement of Principles concerning patellar tendinopathy (Reasonable Hypothesis) (No. 21 of 2020),Secondary,Statement of Principles (RMA),O,Public Administration and Safety,4,4
2022,F2022L00561,Social Security (Streamlined Participation Requirements) Instrument 2022,Secondary,Instrument,K,Financial and Insurance Services,2,6
2024,F2024L01754,Telecommunications (Interception and Access) (Enforcement Agency—Corrective Services NSW) Declaration 2024,Secondary,Declaration,J,Information Media and Telecommunications,0,0
2006,F2006B05102,AD/CESSNA 185/12 - Engine Mount,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2008,F2008L04157,Tariff Concession Order 0819444,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B09027,AD/DHC-2/10 Amdt 8 - Lift Strut and Lift Strut Attachment Fittings,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",11,11
2024,C2024A00101,Commonwealth Entities (Payment Surcharges) Act 2024,Primary,Act,K,Financial and Insurance Services,3,4
2008,F2008L02807,Tariff Concession Order 0802897,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006L00053,Extradition (Convention against Corruption) Regulations 2005,Secondary,Regulation,E,Construction,270,289
2008,F2008L03864,AD/ECUREUIL/132 - Emergency Floatation Gear,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,2,3
2006,F2006B08298,"AD/CESSNA 400/110 - Aircraft Flight Manual, Flight into Icing Conditions",Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",2,4
2009,F2009L02498,National Transport Commission (Model Amendments: Transport of Dangerous Goods by Road or Rail - Package No. 1) Regulations 2009,Secondary,Regulation,I,"Transport, Postal and Warehousing",54,123
2006,F2006B02543,AD/AT/14 - Never Exceed Airspeed Limit,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006L00098,Tariff Concession Order 0513495,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02538,AD/AT 800/2 Amdt 4 - Airframe Life Limits,Secondary,Aviation - Airworthiness Directive,N,Administrative and Support Services,1,1
2006,F2006B05633,AD/PA-28/78 - Fuel Tank Vent and Vent Hose - Modification and Replacement,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L04346,Tariff Concession Order 0713175,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B06400,AD/PW-P/12 - Operating Restrictions - Placarding,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",3,3
2008,F2008L03800,Tariff Concession Order 0812995,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2023,F2023L01460,Statement of Principles concerning chronic exertional compartment syndrome of the lower leg (Reasonable Hypothesis) (No. 98 of 2023),Secondary,Statement of Principles (RMA),O,Public Administration and Safety,4,4
2012,F2012L00136,Tariff Concession Order 1126049,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B08913,AD/DH 89/1 - Fuel System Control - Modification,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2006,F2006B11166,AD/LJ45/5 - Horizontal Stabiliser Actuator Assembly,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,1
2006,F2006L00976,Tariff Concession Revocation Order 24/2006 - Tariff Concession Order 0602218,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B03058,AD/B747/156 - Door 2 Escape Slide/Raft,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B05931,AD/PA-36/15 Amdt 1 - Tail Wheel Assembly - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L03459,Tariff Concession Order 0705916,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L02497,Tariff Concession Order 0902078,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B09774,AD/F28/36 - APU Enclosure Fuel Drain - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B08926,AD/DH114/16 Amdt 1 - Engine Mounting Frames - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",2,2
2017,F2017L00474,Australian Consumer Law (Free Range Egg Labelling) Information Standard 2017,Secondary,Standard,G,Retail Trade,2,5
2006,F2006B04827,AD/CA21/8 - Throttle Control Grub Screw,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B10623,AD/HU 269/62 Amdt 1 - Tail Rotor Hub - Inspection and Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2015,F2015L01344,Repatriation Private Patient Principles,Secondary,Other Instrument,Q,Health Care and Social Assistance,9,9
2023,F2023L00994,Competition and Consumer (Gas Market Code) Regulations 2023,Secondary,Regulation,D,"Electricity, Gas, Water and Waste Services",78,85
2009,F2009L01373,Tariff Concession Order 0844884,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2024,F2024L01540,"Civil Aviation Order 95.55 (Exemptions from CAR and CASR — Certain Light Sport Aircraft, Lightweight Aeroplanes and Ultralight Aeroplanes) Instrument 2024",Secondary,Aviation - Civil Aviation,I,"Transport, Postal and Warehousing",27,44
2018,F2018L01407,Currency (Royal Australian Mint) Determination (No. 6) 2018,Secondary,Determination,K,Financial and Insurance Services,0,0
2009,C2009A00051,Private Health Insurance (National Joint Replacement Register Levy) Act 2009,Primary,Act,Q,Health Care and Social Assistance,4,8
2006,F2006B07093,AD/S-PUMA/15 Amdt 1 - Sling Installation - 3 Ton Cargo Hook,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2009,F2009L00520,Tariff Concession Order 0835935,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2010,F2010L02901,Tariff Concession Revocation Order 27/2010 - Tariff Concession Order 0939945,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2012,F2012L00425,Tariff Concession Order 1113794,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2011,F2011L02350,Tariff Concession Order 1113035,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008B00158,Currency Determination No. 6 of 1999,Secondary,Determination,K,Financial and Insurance Services,0,0
2012,F2012L02037,Greenhouse and Energy Minimum Standards Regulation 2012,Secondary,Regulation,D,"Electricity, Gas, Water and Waste Services",6,6
2006,F2006B06344,AD/PROCTOR/5 (Re-Issue) - Fuel Tank Vent - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L00752,AD/B737/174 Amdt 2 - Shoulder Restraint of Attendant or Observers Seat,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B06137,AD/PC-6/33 - Lifting Sling and Aircraft Lifting Points - Limitations,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B11331,AD/MSR/31 - Nose Landing Gear - Yoke Pivot Assembly,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2008,F2008L00335,Tariff Concession Revocation Order 26/2008 - Tariff Concession Order 0801602,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L03076,Tariff Concession Revocation Order HS2007/415A - Tariff Concession Order 0614396,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L02360,Superannuation (PSS) Productivity Contribution (2008-2009) Determination 2008,Secondary,Determination,K,Financial and Insurance Services,1,1
2007,F2007L00457,Tariff Concession Revocation Order 26/2007 - Tariff Concession Order 0702032,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2023,F2023L00020,Statement of Principles concerning epicondylitis (Balance of Probabilities) (No. 6 of 2023),Secondary,Statement of Principles (RMA),O,Public Administration and Safety,4,4
2008,F2008L00144,"Environment Protection and Biodiversity Conservation Act 1999 - section 269A - Instrument adopting Recovery Plans (08/01/2008) (NT, QLD, NSW)",Secondary,Instrument,R,Arts and Recreation Services,0,0
2008,F2008L03883,Tariff Concession Order 0812332,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2015,F2015L01423,Currency (Royal Australian Mint) Determination 2015 (No. 8),Secondary,Determination,K,Financial and Insurance Services,0,1
2021,F2021L00619,Statement of Principles concerning hypogonadism (Reasonable Hypothesis) (No. 73 of 2021),Secondary,Statement of Principles (RMA),U,Unclassified,4,4
2018,F2018L00518,ASIC Market Integrity Rules (Futures Markets) Class Waiver 2018/267,Secondary,Rules,K,Financial and Insurance Services,4,4
2017,F2017L01375,Commercial Broadcasting (Tax) (Individual Transmitter Amounts) Determination 2017,Secondary,Determination,J,Information Media and Telecommunications,1,1
2007,F2007L03161,Tariff Concession Revocation Order HS2007/232A - Tariff Concession Order 0614165,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02123,AD/AC/64 - Fatigue Life Limitation - Pressurised Fuselage,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2023,F2023L01078,Superannuation Industry (Supervision) Act exemption No. 1 of 2023,Secondary,Exemption,K,Financial and Insurance Services,1,1
2005,F2005L03784,Tariff Concession Order 0512189,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2010,F2010L00429,Tariff Concession Order 0927025,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2021,F2021L00755,Radiocommunications (Conditions of Frequency Assignment Certificates – Apparatus Licences) Determination 2021,Secondary,Determination,J,Information Media and Telecommunications,6,6
2006,F2006B07922,Airworthiness Directives 2004 - Revocation and Remaking - Maule M-7 Series Aeroplanes,Secondary,Aviation - Airworthiness,I,"Transport, Postal and Warehousing",0,0
2006,F2006B06670,"AD/ROTAX/4 - Electronic Module With ""Pi"" Filter",Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B07229,AD/SWSA226/87 - Operation of Deicing Boots,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",4,4
2016,F2016L01722,AD/CL-600/71 Amdt 3 -State of Design Airworthiness Directives,Secondary,Aviation - Airworthiness Directive,M,"Professional, Scientific and Technical Services",1,1
2010,F2010L02505,Tariff Concession Order 1014802,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L02128,Tariff Concession Order 0902609,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L02766,Tariff Concession Revocation Order HS2007/617A - Tariff Concession Order 0614615,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006L01300,AD/DAUPHIN/79 Amdt 1 - Life Raft Installation,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L02001,Tariff Concession Order 0705203,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2022,F2022L00280,Statement of Principles concerning periodontal abscess (Balance of Probabilities) (No. 26 of 2022),Secondary,Statement of Principles (RMA),O,Public Administration and Safety,4,4
2011,F2011L02642,Tariff Concession Order 1119821,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B09861,AD/F50/34 - Electrical Power - AC Emergency Inverter,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2006,F2006B08512,AD/CF700/8 - Fan Centre Vent System,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",0,0
2006,F2006B06270,AD/PL 12/5 - Rudder Pedal Assemblies - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006L03211,Tariff Concession Order 0610961,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L02858,AD/EMB-145/18 - Gust Lock Spring Cartridge,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2009,F2009L00638,Tariff Concession Order 0829304,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2012,F2012L00658,Tariff Concession Order 1136380,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2015,F2015L01458,CASA 136/15 - Approval — alternate means of compliance issued by a foreign State of Design for an airworthiness directive issued by the foreign State of Design,Secondary,Aviation - CASA Instrument,M,"Professional, Scientific and Technical Services",1,1
2006,F2006B05418,AD/PA-22/14 Amdt 1 - Tail Brace Streamline Tie Rods - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2011,F2011L01625,Tariff Concession Order 1102496,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02544,AD/AT/15 Amdt 1 - Wing Attachment Tube Bushings,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2016,F2016L01321,Higher Education Support (The Quest Group Pty Limited) VET Provider Approval Revocation 2016,Secondary,Approval,P,Education and Training,0,0
2010,F2010L01390,Tariff Concession Order 0944784,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2010,F2010L01158,Tariff Concession Order 0941087,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B04227,AD/BEECH 90/36 Amdt 1 - Wing Structural Fatigue Limitation,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",3,3
2019,F2019L00711,Governor-General Superannuation Age Factors (Division 293 Tax Law) Determination 2019 (No. 1),Secondary,Determination,K,Financial and Insurance Services,0,0
2006,F2006B09241,AD/DHC-8/82 - Autopilot Servo Engagement,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,1
2006,F2006B06901,AD/SD3-60/55 - Revised Engine Limitations Label,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B01807,AD/A109/22 - Sliding Doors Emergency Exit Panel,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2006,F2006B03282,AD/B767/101 - Passenger Compartment Lights - Wire Bundle,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2012,F2012L00639,Tariff Concession Order 1134600,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L04195,Tariff Concession Order 0816782,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2022,F2022L00931,Mutual Recognition (Automatic Deemed Registration Notification — Western Australia) Determination 2022,Secondary,Determination,E,Construction,1,1
2007,F2007L01486,Tariff Concession Order 0703023,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L02885,Tariff Concession Order 0902885,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B03411,AD/B767/57 - Cargo Fire Extinguishing Agent Containers,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L02238,Tariff Concession Order 0705867,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B11105,AD/LEARJET 35/26 - Forward Engine Mounts,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,2
2024,F2024L01702,Statement of Principles concerning ganglion (Balance of Probabilities) (No. 8 of 2025),Secondary,Statement of Principles (RMA),Q,Health Care and Social Assistance,4,4
2005,F2005B00691,Community and Open Narrowcasting Radio Licence Area Plan - Ceduna (Radio) - July 1996,Secondary,Licence Area Plan,J,Information Media and Telecommunications,1,1
2006,F2006B02997,AD/B737/97 - Fwd Galley Service Door Lower Gate Hinge,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2012,F2012L00617,Tariff Concession Order 1135920,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2024,F2024L01095,Environment Protection and Biodiversity Conservation (National Recovery Plan for the Malleefowl (Leipoa ocellata)) Instrument 2024,Secondary,Instrument,R,Arts and Recreation Services,15,17
2018,F2018L00661,Family Law (Superannuation) (Interest Rate for Adjustment Period) Determination 2018,Secondary,Superannuation Family Law,K,Financial and Insurance Services,0,0
2018,F2018L01668,Migration Regulations (LIN 18/081: Specification of Regional Areas for a Safe Haven Enterprise Visa) Instrument 2018,Secondary,Regulation,O,Public Administration and Safety,0,0
2008,F2008B00493,Shoalwater Bay (Dugong) Plan of Management 1997,Secondary,Other Instrument,R,Arts and Recreation Services,2,7
2009,F2009L04693,Tariff Concession Order 0917658,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2023,F2023L01168,Statement of Principles concerning malignant neoplasm of the small intestine (Reasonable Hypothesis) (No. 80 of 2023),Secondary,Statement of Principles (RMA),O,Public Administration and Safety,4,4
2006,F2006B06858,AD/SD3-60/15 Amdt 1 - Fuselage Sealing,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2009,F2009L03828,AD/DHC-8/152 - Series 400 Door Stops,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2004,C2004A05165,AIDC Sale Act 1997,Primary,Act,E,Construction,40,45
2019,F2019L01544,Biosecurity (First Point of Entry—Port of Mackay) Determination 2019,Secondary,Biosecurity,A,"Agriculture, Forestry and Fishing",5,7
2023,F2023L00153,Radiocommunications Advisory Guidelines (Managing Interference to Spectrum Licensed Receivers – 2 GHz Band) 2023,Secondary,Other Instrument,J,Information Media and Telecommunications,8,8
2018,F2018L01006,AD/BELL 214/8 Hub Locking Plates,Secondary,Aviation - Airworthiness Directive,N,Administrative and Support Services,0,0
2006,F2006B04897,AD/CESSNA 120/1 - Cigar Lighter Wiring,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2019,F2019L00542,Migration (LIN 19/146: Income Test for Sponsorship for Temporary Sponsored Parent Visa) Instrument 2019,Secondary,Instrument,O,Public Administration and Safety,0,0
2025,F2025L00907,Migration (English Language Requirements for Subclass 485 (Temporary Graduate) Visas) Instrument 2025,Secondary,Instrument,O,Public Administration and Safety,20,20
2006,F2006B04106,"AD/BEECH 60/45 Amdt 1 - Aircraft Flight Manual, Flight into Icing Conditions",Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",2,4
2005,F2005L01061,AD/EMB-120/32 Amdt 1 - Electrical Power System,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",2,2
2008,F2008L02857,AD/EMB-145/17 - Fuel System Reassessment,Secondary,Aviation - Airworthiness Directive,N,Administrative and Support Services,0,0
2006,F2006B01902,AD/A320/159 Amdt 1 - Emergency Escape Path Marking System Power Supplies,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,2,2
2006,F2006B09847,AD/F50/21 - Forward Fuselage - Stringers and Frame 5775,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B05018,AD/CESSNA 177/24 - Fuel Quantity Transmitter,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2004,F2004B00108,Superannuation (Family Law — Parliamentary Contributory Superannuation Act 1948) Orders 2004,Secondary,Superannuation Family Law,K,Financial and Insurance Services,1,2
